station_name,lon_dd,lat_dd,params_avail
WW001,-71.721642,41.438171,"chla, total_p, total_n, temp"
WW002,-71.564271,41.504129,"chla, total_p, total_n, temp"
WW003,-71.475119,41.561453,"chla, total_p, total_n, temp"
WW004,-71.481419,41.563136,"chla, total_p, total_n, temp"
WW005,-71.44689,41.774109,"chla, total_p, total_n, temp"
WW006,-71.675153,41.581428,"chla, total_p, total_n, temp"
WW007,-71.319964,41.73385,"chla, temp"
WW008,-71.451522,41.523592,"chla, total_p, total_n, temp"
WW009,-71.556514,41.634417,"chla, total_p, total_n, temp"
WW011,-71.624909,41.880867,"chla, temp"
WW012,-71.66225,41.391067,"chla, total_p, total_n, temp"
WW015,-71.605113,41.685454,"chla, total_p, total_n, temp"
WW016,-71.511331,41.892783,"chla, total_p, total_n, temp"
WW017,-71.542667,41.49995,"chla, total_p, total_n, temp"
WW018,-71.470544,41.480172,"chla, total_p, total_n, temp"
WW019,-71.688375,41.879128,"chla, total_p, total_n, temp"
WW020,-71.406332,41.705881,"chla, total_p, total_n, temp"
WW021,-71.717213,41.510217,"chla, total_p, total_n, temp"
WW023,-71.553686,41.41035,"chla, total_p, total_n, temp"
WW024,-71.548376,41.887806,"chla, temp"
WW025,-71.432942,41.790983,"chla, temp"
WW026,-71.691067,41.439906,"chla, total_p, total_n, temp"
WW027,-71.590844,41.654058,"chla, total_p, total_n, temp"
WW029,-71.706023,41.944583,"chla, total_p, total_n, temp"
WW030,-71.631367,41.426961,"chla, total_p, total_n, temp"
WW033,-71.318425,41.743678,"chla, total_p, total_n, temp"
WW034,-71.606189,41.507914,"chla, total_p, total_n, temp"
WW036,-71.468889,41.788765,"chla, total_p, total_n, temp"
WW038,-71.424635,41.745261,"chla, total_p, total_n, temp"
WW039,-71.494992,41.453581,"chla, total_p, total_n, temp"
WW040,-71.665214,41.395469,"chla, total_p, total_n, temp"
WW041,-71.667686,41.400531,"chla, total_p, total_n, temp"
WW042,-71.480589,41.555019,"chla, total_p, total_n, temp"
WW044,-71.488181,41.433967,"chla, total_p, total_n, temp"
WW045,-71.469867,41.538511,"chla, total_p, total_n, temp"
WW046,-71.55175,41.859528,"chla, total_p, total_n, temp"
WW047,-71.344896,41.871036,"chla, total_p, total_n, temp"
WW048,-71.682067,41.893469,"chla, total_p, total_n, temp"
WW049,-71.442558,41.790244,"chla, total_p, total_n, temp"
WW050,-71.649328,41.908847,"chla, total_p, total_n, temp"
WW051,-71.664339,41.982658,"chla, total_p, total_n, temp"
WW052,-71.527331,41.908342,"chla, temp"
WW055,-71.550853,41.679097,"chla, total_p, total_n, temp"
WW056,-71.551047,41.424494,"chla, total_p, total_n, temp"
WW059,-71.412906,41.7228,"chla, total_p, total_n, temp"
WW060,-71.690058,41.379358,"chla, total_p, total_n, temp"
WW061,-71.589489,41.881519,"chla, total_p, total_n, temp"
WW064,-71.545928,41.414572,"chla, total_p, total_n, temp"
WW065,-71.544722,41.906078,"chla, total_p, total_n, temp"
WW066,-71.57092,41.437677,"chla, total_p, total_n, temp"
WW067,-71.702446,41.516191,"chla, total_p, total_n, temp"
WW068,-71.57166,41.510569,"chla, total_p, total_n, temp"
WW135,-71.770632,41.922877,"chla, total_p, total_n, temp"
WW136,-71.701839,41.596494,"chla, total_p, temp"
WW143,-71.407028,41.898391,"chla, temp"
WW145,-71.154869,41.643428,"chla, total_p, total_n, temp"
WW148,-71.550853,41.401111,"chla, total_p, total_n, temp"
WW149,-71.788636,41.577011,"chla, total_p, total_n, temp"
WW150,-71.771506,41.6970741,"chla, total_p, total_n, temp"
WW154,-71.460264,41.705233,"chla, total_p, total_n, temp"
WW157,-71.76595,41.999523,"chla, total_p, total_n, temp"
WW158,-71.595605,41.993045,"chla, temp"
WW183,-71.272747,41.583778,"chla, total_p, total_n, temp"
WW192,-71.426467,41.477417,"chla, total_p, total_n, temp"
WW199,-71.312606,41.458467,"chla, total_p, total_n, temp"
WW200,-71.795259,41.380384,"chla, total_p, temp"
WW201,-71.544422,41.860291,"chla, total_p, total_n, temp"
WW209,-71.512679,41.458954,"chla, total_p, total_n, temp"
WW212,-71.320427,41.462837,"chla, total_p, total_n, temp"
WW214,-71.765968,41.51962,"chla, total_p, total_n, temp"
WW113,-71.521688,41.902792,"total_p, total_n"
WW132,-71.1547,41.650622,"total_p, total_n"
